Symbol,Name,AtomicNumber,AddH,Colour,CovalentRadius,VdWRadius,Valency,Mass,Valences,Isotopes,Group,Row,PTRow,PTColumn,PTElementType,C# Property - Copy into PeriodicTable.cs
Ba,Barium,56,FALSE,#00C900,2.15,0,0,137.327,2,,2,6,5,1,alkaline_earth_metal,public Element Ba { get; private set; } // Barium - Atomic Number 56
La,Lanthanum,57,FALSE,#70D4FF,2.07,0,0,138.9055,3,,3,6,7,2,lanthanide,public Element La { get; private set; } // Lanthanum - Atomic Number 57
Ce,Cerium,58,FALSE,#FFFFC7,2.04,0,0,140.115,3|4,,3,6,7,3,lanthanide,public Element Ce { get; private set; } // Cerium - Atomic Number 58
Pr,Praseodymium,59,FALSE,#D9FFC7,2.03,0,0,140.90765,3,,3,6,7,4,lanthanide,public Element Pr { get; private set; } // Praseodymium - Atomic Number 59
Nd,Neodymium,60,FALSE,#C7FFC7,2.01,0,0,144.24,3,,3,6,7,5,lanthanide,public Element Nd { get; private set; } // Neodymium - Atomic Number 60
Pm,Promethium,61,FALSE,#A3FFC7,1.99,0,0,-144.9127,3,,3,6,7,6,lanthanide,public Element Pm { get; private set; } // Promethium - Atomic Number 61
Sm,Samarium,62,FALSE,#8FFFC7,1.98,0,0,150.36,2|3,,3,6,7,7,lanthanide,public Element Sm { get; private set; } // Samarium - Atomic Number 62
Eu,Europium,63,FALSE,#61FFC7,1.98,0,0,151.965,2|3,,3,6,7,8,lanthanide,public Element Eu { get; private set; } // Europium - Atomic Number 63
Gd,Gadolinium,64,FALSE,#45FFC7,1.96,0,0,157.25,3,,3,6,7,9,lanthanide,public Element Gd { get; private set; } // Gadolinium - Atomic Number 64
Tb,Terbium,65,FALSE,#30FFC7,1.94,0,0,158.92534,3|4,,3,6,7,10,lanthanide,public Element Tb { get; private set; } // Terbium - Atomic Number 65
Dy,Dysprosium,66,FALSE,#1FFFC7,1.92,0,0,162.5,3,,3,6,7,11,lanthanide,public Element Dy { get; private set; } // Dysprosium - Atomic Number 66
Ho,Holmium,67,FALSE,#00FF9C,1.92,0,0,164.93032,3,,3,6,7,12,lanthanide,public Element Ho { get; private set; } // Holmium - Atomic Number 67
Er,Erbium,68,FALSE,#00E675,1.89,0,0,167.26,3,,3,6,7,13,lanthanide,public Element Er { get; private set; } // Erbium - Atomic Number 68
Tm,Thulium,69,FALSE,#00D452,1.9,0,0,168.93421,3,,3,6,7,14,lanthanide,public Element Tm { get; private set; } // Thulium - Atomic Number 69
Yb,Ytterbium,70,FALSE,#00BF38,1.87,0,0,173.04,2|3,,3,6,7,15,lanthanide,public Element Yb { get; private set; } // Ytterbium - Atomic Number 70
Lu,Lutetium,71,FALSE,#00AB24,1.87,0,0,174.967,3,,3,6,5,2,transition_metal,public Element Lu { get; private set; } // Lutetium - Atomic Number 71
Hf,Hafnium,72,FALSE,#4DC2FF,1.75,0,0,178.49,4,,4,6,5,3,transition_metal,public Element Hf { get; private set; } // Hafnium - Atomic Number 72
Ta,Tantalum,73,FALSE,#4DA6FF,1.7,0,1,180.9479,3|5,,5,6,5,4,transition_metal,public Element Ta { get; private set; } // Tantalum - Atomic Number 73
W,Tungsten,74,FALSE,#2194D6,1.62,0,2,183.84,2|3|4|5|6,,6,6,5,5,transition_metal,public Element W { get; private set; } // Tungsten - Atomic Number 74
Re,Rhenium,75,FALSE,#267DAB,1.51,0,3,186.207,-1|1|2|3|4|5|6|7,,7,6,5,6,transition_metal,public Element Re { get; private set; } // Rhenium - Atomic Number 75
Os,Osmium,76,FALSE,#266696,1.44,0,2,190.23,0|3|4|6|8,,8,6,5,7,transition_metal,public Element Os { get; private set; } // Osmium - Atomic Number 76
Ir,Iridium,77,FALSE,#175487,1.41,0,3,192.22,3,,9,6,5,8,transition_metal,public Element Ir { get; private set; } // Iridium - Atomic Number 77
Pt,Platinum,78,FALSE,#D0D0E0,1.36,1.75,0,195.08,2|3|4,,10,6,5,9,transition_metal,public Element Pt { get; private set; } // Platinum - Atomic Number 78
Au,Gold,79,FALSE,#FFD123,1.36,1.66,1,196.96654,1|3,,11,6,5,10,transition_metal,public Element Au { get; private set; } // Gold - Atomic Number 79
Hg,Mercury,80,FALSE,#B8B8D0,1.32,1.55,0,200.59,1|2,,12,6,5,11,transition_metal,public Element Hg { get; private set; } // Mercury - Atomic Number 80
Tl,Thallium,81,FALSE,#A6544D,1.45,1.96,0,204.3833,1|3,,13,6,5,12,other_metal,public Element Tl { get; private set; } // Thallium - Atomic Number 81
